cylinders,displacement,horsepower,weight,acceleration,VIN
8,351,142,4054,14.3,XATSRWMIFYO674834
6,225,85,3465,16.6,CPFDSOLAIBE951490
6,232,100,2901,16,DRMCANKRLCL971105
4,105,74,2190,14.2,WCQIKFGDJKD908194
6,225,95,3264,16,NMZVAIWMDRT385881
6,225,95,3785,19,KCIGQGWNORD498480
8,351,153,4129,13,DDVVPEYKNUO821936
8,318,150,3755,14,OKXIOMAKDZE492361
4,105,63,2215,14.9,XXGGKFDRURB449614
6,250,100,3282,15,NBWMLIKZNZD436288
4,120,97,2489,15,OHJSSTEGPNV678771
8,318,150,3940,13.2,RPTVPUCTGRP396262
6,200,85,2587,16,SWFRNJGFWNU396908
6,250,110,3645,16.2,ULOWLHOCVBB258267
8,400,175,4464,11.5,BKVPIBSLBGM559583
6,145,76,3160,19.6,KJFAMZJXTUM539641
8,350,145,3988,13,NJPENKONLWO272524
6,231,165,3445,13.4,TBRKIGWIILI868121
8,260,110,3365,15.5,XEXZGKWWMEI509537
4,98,66,1800,14.4,NDKQYSJSNTZ172574
4,141,80,3230,20.4,XOTQIYDXUIQ921930
8,307,130,3504,12,SJEYWIXFOJB349208
6,258,120,3410,15.1,VIVRHTQTYPF961304
4,104,95,2375,17.5,UZESPASCQBC812576
4,89,62,1845,15.3,PXUQPBBPOWS557196
4,97,78,2190,14.1,ZEIXAEVHGWM499448
4,85,52,2035,22.2,JRQXPLDNNDQ230109
4,97,78,2188,15.8,VNTSEPHLPDJ657218
4,156,92,2620,14.4,OUWMTPAPDKV695686
6,155,107,2472,14,GEFHPQRYRDE169668
8,455,225,3086,10,WBOPTPNZWMU228933
6,250,110,3520,16.4,QCTQRNHUFPJ868279
4,89,71,1925,14,OTAHUKXPKPI531153
4,85,70,2070,18.6,PPJUJMYDDLY396929
8,302,129,3725,13.4,ELNAHQSNMIA261130
4,91,68,1985,16,JSDSMBLHYVT160679
4,96,69,2189,18,ALAWNDZPHWD285369
8,318,150,4457,13.5,CLYUYLMMRTE981936
8,440,215,4312,8.5,RXOJLKQYJGE781138
6,232,90,3265,18.2,CLLZMDBKPWP837436
8,350,180,3664,11,SYVKQHRANZL119014
6,250,105,3459,16,GJSBCFPWAWI285145
8,302,130,3870,15,CIGBPCPMFLE977781
8,304,193,4732,18.5,BCHOAYKCBEY190169
6,231,105,3535,19.2,IKSRVYJNHOT839651
4,91,67,1850,13.8,XKCECAJPIFC420781
4,85,65,2110,19.2,DIJGNKVNSXK471256
4,134,95,2515,14.8,QNEQKHTHVUJ184669
4,76,52,1649,16.5,IBKKCZTCHDX305152
6,171,97,2984,14.5,KEQVCWPJVHI130058
6,231,110,3039,15,JXFVVNULRNU749147
3,80,110,2720,13.5,YOZRWERMNTY675320
4,140,92,2865,16.4,DFGIIOOLZWQ277574
4,130,102,3150,15.7,UPYGHGPFRZS966889
6,250,88,3302,15.5,SECNGMRFCZL558174
4,86,65,2110,17.9,RZFPXRFGSRM106475
4,89,62,2050,17.3,YJHEEPKEWPF938098
8,350,105,3725,19,XRRYQEBXRSF657681
3,70,97,2330,13.5,DXNVWHSPRDZ364986
4,90,48,2335,23.7,GWHUFELZXSA917837
4,83,61,2003,19,IXYMYZOOIGD692797
4,97,75,2265,18.2,MOJJKILYFGD700186
8,400,150,4464,12,LZGOERDBEYR454334
4,105,70,2150,14.9,ZZHBWVVMXJO969205
4,115,95,2694,15,ZXOATSHVRLS913217
8,302,139,3205,11.2,LFGJRUUUWLM313217
6,173,115,2595,11.3,NWCJOHPAMKR350347
8,350,150,4699,14.5,BOJBEWADLQV814739
8,302,129,3169,12,NDALMKTNRBD458570
8,307,200,4376,15,BPNHOPYQKVN538133
4,120,74,2635,18.3,KURNLYEAFCA192078
4,110,87,2672,17.5,OHTLDCKRFJZ148002
4,98,60,2164,22.1,KORZZWLFHSX953914
4,120,88,2957,17,TYRKTPTCLRE398799
4,151,88,2740,16,QGPTMLZUENM518188
6,225,100,3430,17.2,UFQIJSVSDMB571367
4,151,85,2855,17.6,VZMYCQADEGZ147372
6,156,122,2807,13.5,ODIFNPFTZLQ899552
3,70,100,2420,12.5,XILAPYHOGRZ576068
8,429,208,4633,11,RJEQILAAFPE914624
8,400,175,4385,12,OJHOIFDQVSS430345
4,89,60,1968,18.8,QPJMSFIBLEJ759236
4,97,75,2155,16.4,ASDTXIMSFTT869028
4,98,63,2051,17,RJVGFPYRBJT150475
4,113,95,2372,15,LIRPAJDRNGX455689
8,383,180,4955,11.5,EVZGQGNAKEW829207
6,231,105,3425,16.9,ZEVDPBHKGXL146423
4,98,65,2045,16.2,YPUITOAALBM498308
8,318,150,4190,13,BNERYYNVQWD676383
8,360,150,3940,13,CZFUGEYDTCL300707
6,232,100,2945,16,GZYSDPDZUQR856328
4,146,67,3250,21.8,YPHPIKXBDSQ626477
