VIN,model year,origin
XATSRWMIFYO674834,79,1
CPFDSOLAIBE951490,81,1
DRMCANKRLCL971105,74,1
WCQIKFGDJKD908194,81,2
NMZVAIWMDRT385881,75,1
KCIGQGWNORD498480,75,1
DDVVPEYKNUO821936,72,1
OKXIOMAKDZE492361,76,1
XXGGKFDRURB449614,81,1
NBWMLIKZNZD436288,71,1
OHJSSTEGPNV678771,74,3
RPTVPUCTGRP396262,76,1
SWFRNJGFWNU396908,70,1
ULOWLHOCVBB258267,76,1
BKVPIBSLBGM559583,71,1
KJFAMZJXTUM539641,81,2
NJPENKONLWO272524,73,1
TBRKIGWIILI868121,78,1
XEXZGKWWMEI509537,78,1
NDKQYSJSNTZ172574,78,1
XOTQIYDXUIQ921930,81,2
SJEYWIXFOJB349208,70,1
VIVRHTQTYPF961304,78,1
UZESPASCQBC812576,70,2
PXUQPBBPOWS557196,80,2
ZEIXAEVHGWM499448,77,2
JRQXPLDNNDQ230109,76,1
VNTSEPHLPDJ657218,80,2
OUWMTPAPDKV695686,81,1
GEFHPQRYRDE169668,73,1
WBOPTPNZWMU228933,70,1
QCTQRNHUFPJ868279,77,1
OTAHUKXPKPI531153,79,2
PPJUJMYDDLY396929,78,3
ELNAHQSNMIA261130,79,1
JSDSMBLHYVT160679,81,3
ALAWNDZPHWD285369,72,2
CLYUYLMMRTE981936,74,1
RXOJLKQYJGE781138,70,1
CLLZMDBKPWP837436,79,1
SYVKQHRANZL119014,73,1
GJSBCFPWAWI285145,75,1
CIGBPCPMFLE977781,76,1
BCHOAYKCBEY190169,70,1
IKSRVYJNHOT839651,78,1
XKCECAJPIFC420781,80,3
DIJGNKVNSXK471256,80,3
QNEQKHTHVUJ184669,78,3
IBKKCZTCHDX305152,74,3
KEQVCWPJVHI130058,75,1
JXFVVNULRNU749147,75,1
YOZRWERMNTY675320,77,3
DFGIIOOLZWQ277574,82,1
UPYGHGPFRZS966889,76,2
SECNGMRFCZL558174,71,1
RZFPXRFGSRM106475,80,3
YJHEEPKEWPF938098,81,3
XRRYQEBXRSF657681,81,1
DXNVWHSPRDZ364986,72,3
GWHUFELZXSA917837,80,2
IXYMYZOOIGD692797,74,3
MOJJKILYFGD700186,77,3
LZGOERDBEYR454334,73,1
ZZHBWVVMXJO969205,79,1
ZXOATSHVRLS913217,75,2
LFGJRUUUWLM313217,78,1
NWCJOHPAMKR350347,79,1
BOJBEWADLQV814739,74,1
NDALMKTNRBD458570,75,1
BPNHOPYQKVN538133,70,1
KURNLYEAFCA192078,81,3
OHTLDCKRFJZ148002,70,2
KORZZWLFHSX953914,76,1
TYRKTPTCLRE398799,75,2
